Epoch,Validation Loss,IoU Score,Dice Score,Precision,Recall,Specificity
1,0.692858,0.260974,0.411326,0.519765,0.367384,0.66933
2,0.690214,0.384813,0.550022,0.565062,0.57876,0.578638
3,0.626896,0.516937,0.661976,0.5294,0.967604,0.172009
4,0.557713,0.532212,0.675504,0.536026,0.987786,0.174447
5,0.52859,0.554944,0.696174,0.560885,0.98138,0.263588
6,0.516984,0.591951,0.7289,0.603311,0.968776,0.394762
7,0.511856,0.633196,0.763703,0.65593,0.948789,0.531812
8,0.507639,0.665419,0.789681,0.696706,0.936616,0.61062
9,0.504049,0.688201,0.807164,0.728129,0.926846,0.669197
10,0.501326,0.708497,0.822506,0.767512,0.903402,0.73503
11,0.500049,0.72048,0.831165,0.793862,0.888012,0.77069
12,0.498654,0.725557,0.835039,0.794761,0.895465,0.768973
13,0.500932,0.727942,0.836565,0.796873,0.895339,0.770406
14,0.509556,0.729133,0.837749,0.789034,0.908831,0.755389
15,0.512483,0.732011,0.839657,0.795226,0.905361,0.762892
16,0.538121,0.729377,0.837594,0.786699,0.91301,0.745754
17,0.528385,0.737959,0.844209,0.799873,0.908462,0.761976
18,0.540931,0.73434,0.841315,0.795749,0.90841,0.756891
19,0.573808,0.730084,0.83793,0.783245,0.919124,0.733474
20,0.611405,0.724275,0.833659,0.76994,0.927757,0.710064
21,0.682592,0.71893,0.829836,0.757213,0.937722,0.677508
22,0.718131,0.71091,0.823838,0.740955,0.949512,0.65091
23,0.85814,0.695791,0.811626,0.721692,0.954404,0.614208
24,0.860043,0.690415,0.807,0.718366,0.951191,0.611669
25,0.814151,0.706374,0.819918,0.742889,0.940799,0.650311
26,0.805928,0.708087,0.822054,0.740777,0.946178,0.642036
27,0.985155,0.686713,0.805069,0.711738,0.956684,0.587482
28,1.160287,0.673063,0.794687,0.691952,0.965589,0.552822
29,1.266522,0.672321,0.7938,0.691923,0.964595,0.546039
30,1.665565,0.646765,0.772169,0.664059,0.967705,0.489335
31,0.900658,0.703303,0.818108,0.762916,0.9118,0.683486
32,1.217349,0.696958,0.812676,0.734971,0.938593,0.627102
33,1.095563,0.703516,0.817702,0.739005,0.942822,0.641928
34,1.255443,0.692935,0.809179,0.724619,0.94794,0.617927
35,1.56975,0.679264,0.798665,0.698497,0.965461,0.563025
36,1.690821,0.679319,0.79807,0.700938,0.962222,0.568128
37,1.776366,0.678939,0.798164,0.69993,0.962936,0.562
38,1.613637,0.687379,0.804643,0.712248,0.957842,0.587369
39,1.709936,0.685133,0.802742,0.710821,0.956284,0.585435
40,1.881049,0.678593,0.797397,0.700256,0.962407,0.565846
41,2.050094,0.671562,0.792108,0.688457,0.969541,0.539748
42,1.663776,0.694853,0.810479,0.725587,0.949751,0.608446
43,2.076965,0.678455,0.797363,0.700228,0.962207,0.557105
44,1.843488,0.691968,0.808375,0.719896,0.954129,0.593209
45,2.013747,0.685186,0.802837,0.708671,0.960367,0.576173
46,2.35841,0.671232,0.791921,0.687837,0.970346,0.536444
47,1.904031,0.695215,0.810908,0.723947,0.953033,0.603587
48,2.195126,0.685617,0.803517,0.707546,0.96245,0.573368
49,2.127728,0.685233,0.803155,0.706111,0.96441,0.570319
50,1.966511,0.694269,0.810286,0.721387,0.955483,0.598798
51,2.32271,0.683474,0.801999,0.70335,0.96561,0.563669
52,2.672804,0.675573,0.795609,0.693375,0.968613,0.54352
53,2.657043,0.677248,0.797267,0.694999,0.968878,0.542808
54,2.981139,0.671646,0.792534,0.689212,0.969154,0.531312
55,2.954271,0.673802,0.794397,0.691309,0.969158,0.536731
56,2.870307,0.676197,0.796324,0.694744,0.967828,0.545015
57,2.630957,0.686612,0.80444,0.709783,0.960757,0.57002
58,3.234344,0.66879,0.790601,0.684257,0.972428,0.517329
59,2.826166,0.68731,0.80512,0.710062,0.96179,0.570147
60,3.05338,0.678147,0.797943,0.697555,0.966414,0.54532
61,3.251234,0.67374,0.794562,0.689593,0.971719,0.530489
62,3.512065,0.6704,0.791578,0.687383,0.970093,0.525599
63,3.350674,0.674822,0.79516,0.693239,0.967889,0.539986
64,3.900372,0.667394,0.78943,0.682848,0.972553,0.515717
65,3.734048,0.670875,0.792178,0.687416,0.970893,0.526614
66,3.512751,0.675396,0.795502,0.69586,0.96506,0.542331
67,3.004331,0.687784,0.805522,0.709436,0.963395,0.57155
68,3.727563,0.671926,0.792986,0.687601,0.972342,0.527306
69,3.762146,0.674148,0.794692,0.692248,0.968427,0.535141
70,3.600157,0.680316,0.799513,0.701108,0.964727,0.553509
71,4.198144,0.670627,0.79197,0.687907,0.969428,0.524063
72,3.898807,0.675952,0.79628,0.694355,0.967821,0.539717
73,3.7732,0.679952,0.799308,0.701143,0.963728,0.554015
74,4.646521,0.66414,0.786756,0.679168,0.973202,0.5088
75,4.682148,0.666053,0.788275,0.682707,0.970449,0.513606
76,4.497989,0.667975,0.789718,0.684419,0.971018,0.521461
77,4.957148,0.665434,0.788153,0.680018,0.973658,0.505732
78,4.214123,0.676286,0.796414,0.694943,0.967603,0.539984
79,5.100408,0.662929,0.785781,0.678,0.97271,0.502703
80,4.375113,0.678202,0.797897,0.698799,0.964445,0.547687
81,4.708408,0.675587,0.795979,0.694346,0.96758,0.537241
82,5.058696,0.667278,0.789309,0.683073,0.971772,0.516542
83,4.802877,0.674997,0.795598,0.693115,0.968388,0.53492
84,4.654763,0.679416,0.798943,0.699817,0.965199,0.546664
85,5.863945,0.659498,0.783222,0.672749,0.975668,0.49297
86,5.486217,0.66477,0.78742,0.679622,0.973097,0.507178
87,5.012783,0.67807,0.798049,0.697733,0.966191,0.540114
88,5.502121,0.669285,0.791099,0.684868,0.972325,0.518641
89,4.913916,0.678832,0.79841,0.699166,0.965003,0.545845
90,5.033751,0.678298,0.798248,0.697064,0.967411,0.540072
91,5.191812,0.676457,0.796757,0.695463,0.966766,0.536532
92,6.074732,0.665048,0.787529,0.680296,0.972445,0.507213
93,5.65226,0.674001,0.794669,0.692094,0.968343,0.531747
94,5.821266,0.67028,0.791624,0.687668,0.969334,0.525026
95,5.643241,0.675925,0.796086,0.695943,0.965513,0.539012
96,5.913882,0.672976,0.794045,0.689416,0.97099,0.52669
97,6.262232,0.668946,0.790806,0.684961,0.971224,0.516408
98,6.357127,0.670288,0.79195,0.68708,0.970218,0.520187
99,6.312046,0.673264,0.794157,0.691119,0.968532,0.529458
100,5.614114,0.682711,0.801674,0.705057,0.962025,0.555233
1,0.694178,0.496453,0.639764,0.496453,1.0,0.0
2,0.694109,0.496453,0.639764,0.496453,1.0,0.0
3,0.694022,0.496453,0.639764,0.496453,1.0,0.0
4,0.693943,0.496453,0.639764,0.496453,1.0,0.0
5,0.693854,0.496453,0.639764,0.496453,1.0,0.0
6,0.693758,0.496453,0.639764,0.496453,1.0,0.0
7,0.693634,0.496453,0.639764,0.496453,1.0,0.0
8,0.693496,0.496453,0.639764,0.496453,1.0,0.0
9,0.693337,0.496453,0.639764,0.496453,1.0,0.0
10,0.693133,0.496453,0.639764,0.496453,1.0,0.0
11,0.692849,0.496453,0.639764,0.496453,1.0,0.0
12,0.692437,0.496503,0.639814,0.496509,0.999985,0.000264
13,0.691763,0.49704,0.640365,0.497159,0.99968,0.003566
14,0.690657,0.498187,0.64159,0.498846,0.998176,0.012797
15,0.688895,0.503673,0.64714,0.505919,0.993788,0.048148
16,0.685987,0.523361,0.666968,0.5345,0.970618,0.180159
17,0.681064,0.562429,0.704311,0.59733,0.920496,0.403727
18,0.672831,0.609132,0.744547,0.671081,0.887271,0.571813
19,0.653621,0.55049,0.695524,0.799315,0.654595,0.843219
20,0.613902,0.519833,0.66762,0.857487,0.583251,0.911944
21,0.552379,0.631013,0.765034,0.767119,0.802861,0.773591
22,0.490637,0.648775,0.776041,0.729002,0.876541,0.678384
23,0.458109,0.651679,0.781162,0.775889,0.824007,0.795035
24,0.446421,0.641112,0.772002,0.815577,0.767188,0.841936
25,0.434464,0.654481,0.78352,0.808508,0.792613,0.826441
26,0.42823,0.656986,0.785011,0.81253,0.791676,0.827228
27,0.423238,0.671607,0.79555,0.778906,0.845864,0.769271
28,0.422802,0.675611,0.798019,0.772921,0.858619,0.751039
29,0.414437,0.667355,0.793427,0.815452,0.800901,0.827325
30,0.415234,0.677129,0.79995,0.784195,0.846612,0.769511
31,0.408037,0.674838,0.797727,0.801708,0.82371,0.788747
32,0.401298,0.676857,0.799552,0.816185,0.811835,0.810648
33,0.40637,0.66568,0.791323,0.837217,0.777031,0.844251
34,0.400175,0.675858,0.799517,0.821962,0.804314,0.821865
35,0.400264,0.673764,0.797571,0.829574,0.793857,0.834502
36,0.39923,0.674134,0.797876,0.835144,0.789137,0.838793
37,0.396779,0.67319,0.797319,0.836854,0.786138,0.842312
38,0.393583,0.681711,0.803738,0.829502,0.804421,0.832895
39,0.392551,0.688876,0.807533,0.815349,0.828403,0.79043
40,0.393235,0.687993,0.807951,0.808859,0.833196,0.79986
41,0.399983,0.688727,0.807245,0.795615,0.850429,0.756048
42,0.390585,0.692677,0.810358,0.809096,0.839713,0.783848
43,0.396438,0.684287,0.805074,0.827407,0.809703,0.823771
44,0.403054,0.696608,0.813444,0.791387,0.864582,0.765213
45,0.394866,0.68595,0.805977,0.827999,0.813068,0.815547
46,0.406866,0.687848,0.807426,0.815913,0.826698,0.805597
47,0.403515,0.684921,0.805269,0.828769,0.810319,0.823658
48,0.408945,0.686807,0.80563,0.822541,0.818296,0.80514
49,0.421705,0.672234,0.7944,0.847176,0.777239,0.840751
50,0.412339,0.689619,0.808308,0.815954,0.82894,0.806493
51,0.424589,0.693739,0.810909,0.789453,0.863972,0.755312
52,0.423679,0.697459,0.813587,0.794573,0.863015,0.759845
53,0.434609,0.677485,0.798066,0.838567,0.791775,0.822465
54,0.429664,0.684608,0.803691,0.817509,0.820367,0.795626
55,0.427719,0.681473,0.80202,0.823174,0.81195,0.807747
56,0.44957,0.683685,0.80288,0.826875,0.810756,0.808511
57,0.468866,0.676942,0.798505,0.832109,0.796887,0.827326
58,0.4695,0.689537,0.807748,0.803864,0.842696,0.772289
59,0.478883,0.682345,0.803529,0.815937,0.822469,0.798578
60,0.479652,0.677752,0.799218,0.830329,0.799964,0.821737
61,0.475726,0.681675,0.802148,0.816115,0.818511,0.796
62,0.492558,0.689327,0.807445,0.799325,0.847624,0.765806
63,0.491087,0.680924,0.80202,0.815399,0.818846,0.802961
64,0.533101,0.669886,0.79317,0.837173,0.784121,0.826706
65,0.516858,0.678785,0.800079,0.818749,0.813193,0.802165
66,0.531518,0.671493,0.79497,0.824613,0.796983,0.81717
67,0.524035,0.672763,0.795627,0.817049,0.806133,0.806987
68,0.535873,0.673299,0.795933,0.829539,0.796706,0.813969
69,0.575699,0.660868,0.786959,0.838003,0.773254,0.832868
70,0.544102,0.676645,0.798914,0.824587,0.804703,0.818557
71,0.551901,0.678803,0.80066,0.8129,0.818981,0.801559
72,0.557422,0.674493,0.797293,0.832795,0.79455,0.821208
73,0.557518,0.679526,0.800571,0.810876,0.822107,0.788479
74,0.568558,0.681304,0.801993,0.81025,0.825126,0.789008
75,0.603963,0.673422,0.795859,0.828976,0.796651,0.815124
76,0.585723,0.678606,0.800622,0.81629,0.814995,0.807335
77,0.596262,0.682833,0.803292,0.801791,0.835051,0.775678
78,0.600457,0.67145,0.7948,0.823544,0.798504,0.816319
79,0.603113,0.677836,0.799612,0.820083,0.809808,0.80933
80,0.636095,0.668901,0.793227,0.83079,0.788699,0.82814
81,0.633186,0.671588,0.794849,0.823318,0.79808,0.816635
82,0.64076,0.680997,0.801953,0.816162,0.818535,0.799048
83,0.651549,0.672558,0.795931,0.829579,0.794284,0.824809
84,0.630948,0.679861,0.801234,0.816547,0.816408,0.800387
85,0.643232,0.680413,0.801673,0.808613,0.824593,0.791558
86,0.628184,0.670765,0.795078,0.825927,0.795962,0.820907
87,0.591125,0.676926,0.798931,0.82674,0.802645,0.817425
88,0.599688,0.681886,0.803109,0.815068,0.819643,0.802305
89,0.618499,0.683786,0.803913,0.805978,0.831719,0.781451
90,0.658046,0.678857,0.800034,0.812064,0.819795,0.789303
91,0.649785,0.685426,0.80513,0.802333,0.837535,0.780434
92,0.668784,0.678383,0.800368,0.816839,0.813343,0.8067
93,0.699789,0.669908,0.793423,0.82889,0.791626,0.817273
94,0.658628,0.676497,0.798262,0.811452,0.816582,0.791101
95,0.685312,0.678016,0.800184,0.81391,0.816327,0.800916
96,0.737448,0.674859,0.797479,0.825455,0.801009,0.815552
97,0.71721,0.675971,0.798104,0.819824,0.807578,0.806495
98,0.730595,0.672262,0.795682,0.821289,0.80102,0.812645
99,0.725197,0.672451,0.795714,0.824873,0.798,0.8178
100,0.69898,0.66536,0.790047,0.824918,0.788719,0.812963
